,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,54552018,2008-12-01T00:00:00.000,20:17:00,BRONX,49,2,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK,<18,M,BLACK,1020964.562500000000000,255752.984375000000000,40.868589298000074,-73.867256381999937,"{'type': 'Point', 'coordinates': [-73.86725638199994, 40.868589298000074]}",row-9xuq~5f4a-ates,rv-dhea.rvuz~6iib,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,32,11605,59
1,54579982,2008-12-01T00:00:00.000,18:30:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1001059.562500000000000,196145.656250000000000,40.705043530000069,-73.939373961999934,"{'type': 'Point', 'coordinates': [-73.93937396199993, 40.70504353000007]}",row-f6x7_yw75_ipqm,rv-q2zb_hb3w~9pvj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17213,36
2,54579983,2008-12-01T00:00:00.000,22:00:00,QUEENS,103,0,,False,UNKNOWN,M,BLACK,18-24,M,WHITE HISPANIC,1041749.000000000000000,196938.000000000000000,40.707047475000024,-73.792611903999955,"{'type': 'Point', 'coordinates': [-73.79261190399995, 40.707047475000024]}",row-hdc9_56pc_krnf,rv-28hh~rv38-4mk2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,61,24340,41
3,54579982,2008-12-01T00:00:00.000,18:30:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK HISPANIC,45-64,F,BLACK,1001059.562500000000000,196145.656250000000000,40.705043530000069,-73.939373961999934,"{'type': 'Point', 'coordinates': [-73.93937396199993, 40.70504353000007]}",row-xmpw_hn93.x6ci,rv-yqs4_jib6-fek7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17213,36
4,54579982,2008-12-01T00:00:00.000,18:30:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1001059.562500000000000,196145.656250000000000,40.705043530000069,-73.939373961999934,"{'type': 'Point', 'coordinates': [-73.93937396199993, 40.70504353000007]}",row-g7q5-6wba-nd7m,rv-di59~ezyg.hgx7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17213,36
5,54579982,2008-12-01T00:00:00.000,18:30:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK HISPANIC,45-64,F,BLACK,1001059.562500000000000,196145.656250000000000,40.705043530000069,-73.939373961999934,"{'type': 'Point', 'coordinates': [-73.93937396199993, 40.70504353000007]}",row-wfgd~dghs.imqr,rv-9mb5~hhjc.w7mu,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17213,36
6,54535003,2008-12-01T00:00:00.000,07:54:00,BROOKLYN,73,0,,False,18-24,M,BLACK,18-24,M,BLACK,1008276.000000000000000,183623.000000000000000,40.670655072000045,-73.913390919999983,"{'type': 'Point', 'coordinates': [-73.91339091999998, 40.670655072000045]}",row-pree.ex8k~7n7v,rv-a45b_hqms_bigd,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,17,46,17614,55
7,54515431,2008-11-30T00:00:00.000,03:30:00,QUEENS,106,0,,False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1028713.000000000000000,187853.000000000000000,40.682186401000081,-73.839690482999970,"{'type': 'Point', 'coordinates': [-73.83969048299997, 40.68218640100008]}",row-kd78~gqaz.9h2u,rv-cqvs_fcyf_hhw2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,41,64,24013,62
8,54535000,2008-11-30T00:00:00.000,00:02:00,MANHATTAN,32,0,,False,<18,M,BLACK,25-44,M,BLACK,1001815.375000000000000,238082.781250000000000,40.820148650000078,-73.936538378999956,"{'type': 'Point', 'coordinates': [-73.93653837899996, 40.82014865000008]}",row-jxhn-3zd9~z5b2,rv-rkry~bf7a_czix,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,20,12427,18
9,54535002,2008-11-30T00:00:00.000,01:04:00,QUEENS,110,0,,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK HISPANIC,1020255.000000000000000,210816.000000000000000,40.745252741000058,-73.870062869999970,"{'type': 'Point', 'coordinates': [-73.87006286999997, 40.74525274100006]}",row-c8kj~nyjs~r35k,rv-raen.j44e.8dh7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,68,14784,66
10,54515432,2008-11-30T00:00:00.000,09:30:00,MANHATTAN,17,0,,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK,992411.000000000000000,215025.000000000000000,40.756874911000068,-73.970544056999984,"{'type': 'Point', 'coordinates': [-73.97054405699998, 40.75687491100007]}",row-jvvy-j9bn~cetb,rv-eb4b-5fnb-rbdf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,51,9,12419,71
11,54535000,2008-11-30T00:00:00.000,00:02:00,MANHATTAN,32,0,,False,<18,M,BLACK,<18,M,BLACK,1001815.375000000000000,238082.781250000000000,40.820148650000078,-73.936538378999956,"{'type': 'Point', 'coordinates': [-73.93653837899996, 40.82014865000008]}",row-iz4i-8x96.f3qf,rv-3yf2.8dh6_ycty,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,20,12427,18
12,54535001,2008-11-30T00:00:00.000,02:45:00,BRONX,47,0,BAR/NIGHT CLUB,False,UNKNOWN,M,BLACK,25-44,M,BLACK,1029210.812500000000000,260573.484375000000000,40.881781916000079,-73.837408973999970,"{'type': 'Point', 'coordinates': [-73.83740897399997, 40.88178191600008]}",row-vw4j_b837-jyt7,rv-2xjj-huz6-vmkz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,2,30,12344,29
13,54515432,2008-11-30T00:00:00.000,09:30:00,MANHATTAN,17,0,,False,UNKNOWN,U,UNKNOWN,18-24,F,BLACK,992411.000000000000000,215025.000000000000000,40.756874911000068,-73.970544056999984,"{'type': 'Point', 'coordinates': [-73.97054405699998, 40.75687491100007]}",row-q7zv.acpz.by8p,rv-bs6q-sfas-7dfv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,51,9,12419,71
14,54495005,2008-11-29T00:00:00.000,06:04:00,MANHATTAN,23,0,MULTI DWELL - APT BUILD,False,UNKNOWN,M,BLACK,25-44,M,BLACK HISPANIC,1000267.312500000000000,225914.718750000000000,40.786753604000069,-73.942160498999954,"{'type': 'Point', 'coordinates': [-73.94216049899995, 40.78675360400007]}",row-ix9j~ybuz~x6pc,rv-xg6a_eqxs_qqqy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,35,14,12426,7
15,54495005,2008-11-29T00:00:00.000,06:04:00,MANHATTAN,23,0,MULTI DWELL - APT BUILD,False,UNKNOWN,M,UNKNOWN,25-44,M,BLACK HISPANIC,1000267.312500000000000,225914.718750000000000,40.786753604000069,-73.942160498999954,"{'type': 'Point', 'coordinates': [-73.94216049899995, 40.78675360400007]}",row-e6xy.aqj8~fezg,rv-bm65_88w3-pr4c,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,35,14,12426,7
16,54495006,2008-11-29T00:00:00.000,20:18:00,BROOKLYN,75,0,,False,UNKNOWN,M,BLACK,<18,M,BLACK,1017141.000000000000000,183798.000000000000000,40.671106911000038,-73.881432956999959,"{'type': 'Point', 'coordinates': [-73.88143295699996, 40.67110691100004]}",row-z9nn_yxyw~6yyb,rv-xrf8.kqw9_jstt,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,25,47,17215,45
