,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,283416447,2024-03-08T00:00:00.000,0:18:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,SOCIAL CLUB/POLICY LOCATI,False,18-24,M,BLACK,25-44,M,BLACK,"986,631","214,350",40.755018,-73.991405,"{'type': 'Point', 'coordinates': [-73.991405, 40.755018]}",row-s3ze~q7ut~jnbk,rv-3wg5-2zhv-gfdf,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,4,10,8,12080,11
1,283447059,2024-03-08T00:00:00.000,20:00:00,BRONX,OUTSIDE,52,0,STREET,(null),False,<18,M,BLACK HISPANIC,<18,M,BLACK,"1,013,654","255,157",40.866974,-73.893689,"{'type': 'Point', 'coordinates': [-73.893689, 40.866974]}",row-gbzj_ubeh.9izm,rv-dqi8.g7jq_54z4,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,22,34,11606,24
2,283404608,2024-03-07T00:00:00.000,16:14:00,BRONX,OUTSIDE,40,0,STREET,(null),True,<18,M,BLACK,<18,M,BLACK,"1,005,028","234,516",,,,row-hhpn.46pv.95rw,rv-urdp_s99q-qj29,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,,,,,
3,283390056,2024-03-07T00:00:00.000,17:15:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),False,18-24,M,BLACK,18-24,M,BLACK,"1,008,245","183,796",,,,row-kxag.xcau_uyzq,rv-e5t9-5ged.equv,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,,,,,
4,283920709,2024-03-05T00:00:00.000,1:00:00,BRONX,INSIDE,44,0,DWELLING,MULTI DWELL - APT BUILD,True,45-64,M,BLACK,25-44,M,BLACK,"1,003,462","242,605",40.832551,-73.930574,"{'type': 'Point', 'coordinates': [-73.930574, 40.832551]}",row-i8u2_y49f.vk2d,rv-iqg5~4vzy_yuz7,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,35,27,10930,50
5,283198892,2024-03-04T00:00:00.000,17:40:00,BRONX,OUTSIDE,46,0,STREET,(null),False,18-24,M,BLACK,<18,M,WHITE HISPANIC,"1,012,233","252,363",40.859309,-73.898839,"{'type': 'Point', 'coordinates': [-73.898839, 40.859309]}",row-3pw3~uygt~4qzq,rv-4k8t.vhhs-prtd,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,29,29,10936,6
6,283147870,2024-03-03T00:00:00.000,22:37:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,25-44,M,WHITE HISPANIC,"1,001,767","241,659",40.829956,-73.936699,"{'type': 'Point', 'coordinates': [-73.936699, 40.829956]}",row-69wc.xm7j_fpun,rv-vmss_chez~eyg5,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,4,36,20,13097,18
7,283128966,2024-03-02T00:00:00.000,3:25:00,QUEENS,INSIDE,114,0,(null),BAR/NIGHT CLUB,False,(null),(null),(null),25-44,M,BLACK,"1,006,506","214,760",40.756115,-73.919666,"{'type': 'Point', 'coordinates': [-73.919666, 40.756115]}",row-hqhv.eka6-9apg,rv-f5a7-4bra.8v6x,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,3,33,72,16858,39
8,283128965,2024-03-02T00:00:00.000,1:29:00,BRONX,OUTSIDE,44,0,STREET,(null),False,(null),(null),(null),25-44,F,BLACK,"1,006,769","241,999",40.830878,-73.918625,"{'type': 'Point', 'coordinates': [-73.918625, 40.830878]}",row-gkn7-sw49-mqtn,rv-7929-eq9u.64z7,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,42,27,10934,50
9,283051133,2024-03-01T00:00:00.000,1:00:00,STATEN ISLAND,INSIDE,120,0,DWELLING,MULTI DWELL - APT BUILD,False,45-64,F,BLACK,65+,M,BLACK,"963,011","168,376",40.628807,-74.076515,"{'type': 'Point', 'coordinates': [-74.076515, 40.628807]}",row-ghad-ynfp~z7jz,rv-m258_dsf5~2ein,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,1,13,74,10691,4
10,283051134,2024-03-01T00:00:00.000,2:30:00,BRONX,OUTSIDE,41,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,"1,010,774","235,171",40.812126,-73.904181,"{'type': 'Point', 'coordinates': [-73.904181, 40.812126]}",row-w2eb_kky9_ur5v,rv-nb35.p9t5-aa5z,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,43,24,10933,8
11,283020988,2024-02-29T00:00:00.000,22:35:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),True,18-24,M,BLACK,<18,M,BLACK,"998,911","185,545",40.675943,-73.947145,"{'type': 'Point', 'coordinates': [-73.947145, 40.675943]}",row-ngm6-mb8c_3wb3,rv-22cq.babt.n6fq,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,49,49,17615,16
12,283020989,2024-02-29T00:00:00.000,1:00:00,BRONX,INSIDE,52,0,COMMERCIAL,GROCERY/BODEGA,False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"1,010,769","253,612",40.862742,-73.904126,"{'type': 'Point', 'coordinates': [-73.904126, 40.862742]}",row-b257_p6ge-wufb,rv-kht3~x3g3_rc6b,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,29,34,11606,24
13,283020990,2024-02-29T00:00:00.000,11:11:00,MANHATTAN,INSIDE,28,0,DWELLING,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,45-64,M,BLACK,"997,786","231,697",40.802621,-73.951104,"{'type': 'Point', 'coordinates': [-73.951104, 40.802621]}",row-uwq3_c4rm-whms,rv-h2n2_nv4k.ymf4,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,4,36,18,12423,18
14,283020987,2024-02-29T00:00:00.000,19:27:00,BRONX,INSIDE,40,0,COMMERCIAL,GROCERY/BODEGA,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,009,568","236,579",40.815995,-73.908532,"{'type': 'Point', 'coordinates': [-73.908532, 40.815995]}",row-qkrw-26fk~ggji,rv-t5yt~gw5b_ggzz,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,35,23,10933,49
15,282962459,2024-02-28T00:00:00.000,17:50:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK,"995,628","181,599",40.665118,-73.958987,"{'type': 'Point', 'coordinates': [-73.958987, 40.665118]}",row-wp9x~3xub~3w6a,rv-yg3w_8zxm-vjzk,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,48,44,13509,17
16,282942198,2024-02-28T00:00:00.000,13:15:00,MANHATTAN,OUTSIDE,19,0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,"999,232","224,050",40.781632,-73.9459,"{'type': 'Point', 'coordinates': [-73.9459, 40.781632]}",row-nf8z.evsu_6hzb,rv-w39d.zjuf.h4rd,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,4,1,11,10099,23
17,282910022,2024-02-28T00:00:00.000,0:07:00,BRONX,INSIDE,48,0,DWELLING,MULTI DWELL - APT BUILD,False,(null),(null),(null),18-24,M,WHITE HISPANIC,"1,013,843","251,882",40.857985,-73.89302,"{'type': 'Point', 'coordinates': [-73.89302, 40.857985]}",row-tc5r~f97q-uurc,rv-pu4c_damj-fq4w,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,22,31,10936,35
18,282899915,2024-02-27T00:00:00.000,20:20:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,"1,024,750","268,626",40.903897,-73.853488,"{'type': 'Point', 'coordinates': [-73.853488, 40.903897]}",row-77b9-5yjd_3mut,rv-993f_eejp~2ku6,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,40,30,11608,29
19,282833318,2024-02-26T00:00:00.000,16:10:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),True,25-44,M,BLACK,25-44,M,BLACK,"996,039","184,097",40.671975,-73.957498,"{'type': 'Point', 'coordinates': [-73.957498, 40.671975]}",row-ai43.7n33_nafy,rv-5js5_tfr4~88mb,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,48,49,17618,16
20,282780443,2024-02-25T00:00:00.000,20:50:00,BRONX,OUTSIDE,47,0,COMMERCIAL,SMALL MERCHANT,False,18-24,M,BLACK,25-44,M,BLACK,"1,026,242","262,090",40.885953,-73.848134,"{'type': 'Point', 'coordinates': [-73.848134, 40.885953]}",row-ct8x~dgde~89xq,rv-f7kk.6st7~mg27,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,2,30,11275,29
