,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,151527036,2016-03-24T00:00:00.000,18:11:00,STATEN ISLAND,121,2,MULTI DWELL - PUBLIC HOUS,True,45-64,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,938890.500000000000000,170111.750000000000000,40.633486082000047,-74.163425381999957,"{'type': 'Point', 'coordinates': [-74.16342538199996, 40.63348608200005]}",row-673k~5a3c_jqf8,rv-pnc3~48qx_dwvt,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4
1,151527036,2016-03-24T00:00:00.000,18:11:00,STATEN ISLAND,121,2,MULTI DWELL - PUBLIC HOUS,True,45-64,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,938890.500000000000000,170111.750000000000000,40.633486082000047,-74.163425381999957,"{'type': 'Point', 'coordinates': [-74.16342538199996, 40.63348608200005]}",row-fm63.zhbq-f9rt,rv-rwnt-ejc4.6mtq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4
2,151497204,2016-03-24T00:00:00.000,00:01:00,QUEENS,107,0,,False,,,,18-24,M,BLACK HISPANIC,1037673.562500000000000,205054.750000000000000,40.729351499000074,-73.807246876999955,"{'type': 'Point', 'coordinates': [-73.80724687699995, 40.729351499000074]}",row-h25b~bdj3-qreg,rv-6m62.ur6q-p5jr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,24,65,14507,25
3,151527278,2016-03-24T00:00:00.000,17:10:00,BRONX,41,0,,False,<18,M,WHITE HISPANIC,18-24,M,BLACK,1015637.625000000000000,236880.156250000000000,40.816809487000057,-73.886604750999936,"{'type': 'Point', 'coordinates': [-73.88660475099994, 40.81680948700006]}",row-tcmj~p7s6_iwqr,rv-6r8y~jiu6_stwb,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,43,24,12343,8
4,151497203,2016-03-23T00:00:00.000,21:36:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1000101.500000000000000,229680.187500000000000,40.797089099000061,-73.942750385999943,"{'type': 'Point', 'coordinates': [-73.94275038599994, 40.79708909900006]}",row-ms83.cwbf.ibtx,rv-hk8d_hrfx-uptv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,35,14,12426,7
5,151401849,2016-03-21T00:00:00.000,11:59:00,BROOKLYN,67,0,,False,,,,25-44,M,BLACK,999662.062500000000000,175419.375000000000000,40.648157112000035,-73.944461753999974,"{'type': 'Point', 'coordinates': [-73.94446175399997, 40.648157112000035]}",row-p6vu-5ikv-3ecx,rv-gn5r.iazr.cjw7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,16866,61
6,151383173,2016-03-20T00:00:00.000,04:29:00,QUEENS,115,0,,False,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1019576.625000000000000,216434.765625000000000,40.760677551000072,-73.872481539999967,"{'type': 'Point', 'coordinates': [-73.87248153999997, 40.76067755100007]}",row-6feq.zazf-pyn6,rv-saar.y7v9~r7h8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,73,14511,65
7,151383174,2016-03-20T00:00:00.000,20:20:00,BRONX,43,0,,False,,,,18-24,M,WHITE HISPANIC,1018182.062500000000000,239890.718750000000000,40.825063218000025,-73.877397036999980,"{'type': 'Point', 'coordinates': [-73.87739703699998, 40.825063218000025]}",row-54tx~mhi9~a5j6,rv-zy55-5dwc.qv53,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,31,26,11610,58
8,151383173,2016-03-20T00:00:00.000,04:29:00,QUEENS,115,0,,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1019576.625000000000000,216434.765625000000000,40.760677551000072,-73.872481539999967,"{'type': 'Point', 'coordinates': [-73.87248153999997, 40.76067755100007]}",row-jsep_wami_iqnn,rv-47he~2feq_wtn5,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,21,73,14511,65
9,151383176,2016-03-19T00:00:00.000,01:50:00,QUEENS,106,0,PVT HOUSE,True,,,,25-44,M,BLACK,1037679.750000000000000,184731.031250000000000,40.673567739000077,-73.807385788999966,"{'type': 'Point', 'coordinates': [-73.80738578899997, 40.67356773900008]}",row-xpmy-63d7.xmhd,rv-682d_vti9-6dsx,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,64,24016,62
