,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,perp_age_group,perp_sex,perp_race
0,86325310,2012-08-17T00:00:00.000,01:45:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,1021008.562500000000000,182982.656250000000000,40.668853764000062,-73.867495279999957,"{'type': 'Point', 'coordinates': [-73.86749527999996, 40.66885376400006]}",row-r8j2-ragg~e8h3,rv-bngs_hmzq_6av6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,47,17215,45,,,
1,86306453,2012-08-17T00:00:00.000,03:22:00,BRONX,41,0,,False,18-24,M,BLACK,1012334.687500000000000,240636.906250000000000,40.827131816000076,-73.898521814999981,"{'type': 'Point', 'coordinates': [-73.89852181499998, 40.827131816000076]}",row-keui~yws7-nd4c,rv-6u7f_4vpf_iwg7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,25,10937,34,,,
2,86325308,2012-08-17T00:00:00.000,04:00:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,False,45-64,M,BLACK,1001280.187500000000000,240787.296875000000000,40.827572827000040,-73.938465127999962,"{'type': 'Point', 'coordinates': [-73.93846512799996, 40.82757282700004]}",row-p7x8_7pbm.huqq,rv-fu3n~paw8-bktx,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,36,20,13097,18,45-64,M,BLACK
3,86298109,2012-08-16T00:00:00.000,12:10:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,991632.750000000000000,192539.343750000000000,40.695157929000061,-73.973377839999955,"{'type': 'Point', 'coordinates': [-73.97337783999996, 40.69515792900006]}",row-d67g_vb6y~97dk,rv-95s7~kp9y.eydc,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,55,17212,68,25-44,M,BLACK
4,86298109,2012-08-16T00:00:00.000,12:10:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,991632.750000000000000,192539.343750000000000,40.695157929000061,-73.973377839999955,"{'type': 'Point', 'coordinates': [-73.97337783999996, 40.69515792900006]}",row-2859-reij-dz74,rv-tagh_6tw9-vj4d,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,55,17212,68,18-24,M,BLACK
5,86302935,2012-08-16T00:00:00.000,00:01:00,MANHATTAN,28,0,HOTEL/MOTEL,True,25-44,M,BLACK,998942.875000000000000,232278.078125000000000,40.804221601000052,-73.946929320999971,"{'type': 'Point', 'coordinates': [-73.94692932099997, 40.80422160100005]}",row-prns.p6rp.uvpr,rv-xvia~59yc.nahe,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,18,12424,18,25-44,M,BLACK
6,86302933,2012-08-16T00:00:00.000,18:00:00,BROOKLYN,70,0,GROCERY/BODEGA,False,45-64,M,UNKNOWN,996174.875000000000000,173443.250000000000000,40.642738456000075,-73.957031848999975,"{'type': 'Point', 'coordinates': [-73.95703184899997, 40.642738456000075]}",row-extq_ghqp-88eg,rv-bbkv-62x6~h4fy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,11,43,13510,60,,,
7,86267582,2012-08-15T00:00:00.000,19:49:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,1010164.625000000000000,181388.109375000000000,40.664515470000026,-73.906591273999936,"{'type': 'Point', 'coordinates': [-73.90659127399994, 40.664515470000026]}",row-7nm5_ta97~ytiv,rv-c3jt~s96e_8nic,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,17,46,17614,55,25-44,M,BLACK
8,86247295,2012-08-14T00:00:00.000,03:25:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1044122.000000000000000,155673.343750000000000,40.593769559000066,-73.784419196999977,"{'type': 'Point', 'coordinates': [-73.78441919699998, 40.593769559000066]}",row-indx-z5s2~q3fr,rv-qphq~y983.ax4w,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,47,59,20530,51,25-44,M,BLACK
9,86248120,2012-08-14T00:00:00.000,13:08:00,BRONX,42,0,,False,18-24,M,BLACK HISPANIC,1012868.687500000000000,242598.875000000000000,40.832515142000034,-73.896583921999934,"{'type': 'Point', 'coordinates': [-73.89658392199993, 40.832515142000034]}",row-ymni~utxi-2an9,rv-fqe3.pidq-m7u8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,25,10937,34,18-24,M,BLACK
10,86249656,2012-08-14T00:00:00.000,16:50:00,BROOKLYN,75,0,GAS STATION,False,25-44,M,UNKNOWN,1011259.000000000000000,187276.000000000000000,40.680673131000049,-73.902622971999961,"{'type': 'Point', 'coordinates': [-73.90262297199996, 40.68067313100005]}",row-59g7_5zki.54s5,rv-ap8a~43uk-6su7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,53,17214,42,,,
11,86248120,2012-08-14T00:00:00.000,13:08:00,BRONX,42,0,,False,18-24,M,BLACK HISPANIC,1012868.687500000000000,242598.875000000000000,40.832515142000034,-73.896583921999934,"{'type': 'Point', 'coordinates': [-73.89658392199993, 40.832515142000034]}",row-fq86_85tr-uqxy,rv-4mhr-ksmq~ijm3,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,25,10937,34,<18,M,BLACK
12,86248120,2012-08-14T00:00:00.000,13:08:00,BRONX,42,0,,False,18-24,M,BLACK HISPANIC,1012868.687500000000000,242598.875000000000000,40.832515142000034,-73.896583921999934,"{'type': 'Point', 'coordinates': [-73.89658392199993, 40.832515142000034]}",row-qpg6_r5nn-wtgw,rv-bsn7~rnrw_bdpd,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,25,10937,34,18-24,M,BLACK HISPANIC
13,86240646,2012-08-13T00:00:00.000,18:25:00,BROOKLYN,73,0,,False,<18,M,BLACK,1007845.812500000000000,186484.546875000000000,40.678510529000050,-73.914931669999987,"{'type': 'Point', 'coordinates': [-73.91493166999999, 40.67851052900005]}",row-a68q-n8nw_mi4e,rv-bkc7.adi7~e8n2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,13516,55,<18,M,BLACK
14,86240645,2012-08-13T00:00:00.000,22:15:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1010060.250000000000000,181944.109375000000000,40.666041871000061,-73.906965368999977,"{'type': 'Point', 'coordinates': [-73.90696536899998, 40.66604187100006]}",row-b7cn~iyui-wgar,rv-np5p.f8ek_4787,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,17614,55,,,
15,86240646,2012-08-13T00:00:00.000,18:25:00,BROOKLYN,73,0,,False,18-24,M,BLACK,1007845.812500000000000,186484.546875000000000,40.678510529000050,-73.914931669999987,"{'type': 'Point', 'coordinates': [-73.91493166999999, 40.67851052900005]}",row-cynk~da2v-irty,rv-i4qg~4ucs-5i79,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,13516,55,<18,M,BLACK
