,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,69643420,2010-01-06T00:00:00.000,13:50:00,STATEN ISLAND,120,0,False,18-24,M,BLACK,<18,M,BLACK,944798.000000000000000,170162.000000000000000,40.633652289000054,-74.142141818999960,"{'type': 'Point', 'coordinates': [-74.14214181899996, 40.633652289000054]}",row-tbp9.p4y9-m29i,rv-8kfu_cy9q.f2w8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,1,13,75,10370,4,
1,69581941,2010-01-05T00:00:00.000,20:20:00,BROOKLYN,73,2,False,18-24,M,BLACK,18-24,M,BLACK,1010474.937500000000000,182025.468750000000000,40.666263966000031,-73.905470263999973,"{'type': 'Point', 'coordinates': [-73.90547026399997, 40.66626396600003]}",row-pvh4-wb7e_fxqz,rv-69hr-7gs3_cq36,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,17614,55,MULTI DWELL - PUBLIC HOUS
2,69576831,2010-01-04T00:00:00.000,19:10:00,BROOKLYN,60,2,False,25-44,M,BLACK,25-44,M,BLACK,989043.375000000000000,154711.078125000000000,40.591329251000047,-73.982742491999943,"{'type': 'Point', 'coordinates': [-73.98274249199994, 40.59132925100005]}",row-eg2c-xh3u.8cwy,rv-s2bc~kwyn.fdjm,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,45,35,18183,21,MULTI DWELL - PUBLIC HOUS
3,69526319,2010-01-03T00:00:00.000,18:10:00,BROOKLYN,66,0,False,25-44,M,BLACK,18-24,M,BLACK,991579.625000000000000,173226.250000000000000,40.642147832000035,-73.973590413999943,"{'type': 'Point', 'coordinates': [-73.97359041399994, 40.642147832000035]}",row-uzqu_hyuz-8gaa,rv-uyec-h9c9.9n69,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,27,39,17620,2,MULTI DWELL - APT BUILD
4,69526317,2010-01-03T00:00:00.000,05:16:00,BRONX,47,0,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1021659.250000000000000,256780.625000000000000,40.871406938000064,-73.864738937999959,"{'type': 'Point', 'coordinates': [-73.86473893799996, 40.871406938000064]}",row-4fwr-fy9w.d2ek,rv-enaf_22s6~3ug7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,22,30,11605,29,BAR/NIGHT CLUB
5,69526299,2010-01-02T00:00:00.000,18:00:00,BROOKLYN,90,0,True,45-64,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,996787.437500000000000,196981.609375000000000,40.707345108000027,-73.954780785999958,"{'type': 'Point', 'coordinates': [-73.95478078599996, 40.70734510800003]}",row-8rgn.hrza_8frh,rv-g5dd~wmvj-sr5e,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17613,36,GROCERY/BODEGA
6,69526318,2010-01-02T00:00:00.000,23:30:00,BROOKLYN,73,0,False,25-44,M,BLACK,25-44,M,BLACK,1007588.000000000000000,179461.078125000000000,40.659233363000055,-73.915885472999946,"{'type': 'Point', 'coordinates': [-73.91588547299995, 40.659233363000055]}",row-tdwq_h98g.74xc,rv-wpc4~kzb2-kp5p,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,25,46,17614,55,
7,69526313,2010-01-01T00:00:00.000,14:00:00,BROOKLYN,83,0,False,25-44,M,UNKNOWN,25-44,M,WHITE,1005987.625000000000000,196738.937500000000000,40.706661214000064,-73.921597884999983,"{'type': 'Point', 'coordinates': [-73.92159788499998, 40.706661214000064]}",row-tbru.mc3d.e5ti,rv-5nv6_ni5r~entz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,53,13828,42,
8,69526312,2010-01-01T00:00:00.000,04:08:00,BRONX,48,0,False,UNKNOWN,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,1015109.000000000000000,251170.000000000000000,40.856032809000055,-73.888448813999958,"{'type': 'Point', 'coordinates': [-73.88844881399996, 40.856032809000055]}",row-2ymf~zg59_eaj9,rv-j37f~gar8_ffzz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,10936,35,
9,69526316,2010-01-01T00:00:00.000,02:57:00,BROOKLYN,77,0,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1002230.375000000000000,183369.609375000000000,40.669973913000035,-73.935185256999944,"{'type': 'Point', 'coordinates': [-73.93518525699994, 40.669973913000035]}",row-iekf.ejwf.v4je,rv-s9tr-bmww.dfp9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,49,17615,16,
