,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,216463653,2020-08-12T00:00:00.000,01:20:00,BROOKLYN,77,0,True,25-44,M,BLACK,25-44,M,BLACK,1003112.625000000000000,184921.968750000000000,40.674232956000026,-73.932000553999956,"{'type': 'Point', 'coordinates': [-73.93200055399996, 40.674232956000026]}",row-aqv3-gaq8-5gvz,rv-vptg~wt38_gphk,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,49,49,17615,16,
1,216458808,2020-08-11T00:00:00.000,21:30:00,BROOKLYN,61,0,True,18-24,M,WHITE HISPANIC,18-24,M,WHITE,1002164.000000000000000,155040.000000000000000,40.592215270000054,-73.935499721999975,"{'type': 'Point', 'coordinates': [-73.93549972199997, 40.592215270000054]}",row-j5jd~ei8k.wngw,rv-tqut~fuxh~ktbj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,15,36,13826,32,
2,216458810,2020-08-11T00:00:00.000,22:45:00,BROOKLYN,70,0,False,,,,18-24,M,BLACK,996025.875000000000000,171542.093750000000000,40.637520388000041,-73.957572066999944,"{'type': 'Point', 'coordinates': [-73.95757206699994, 40.63752038800004]}",row-93i2-hwug~6vre,rv-t6rw-tvqm.zm4x,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,11,43,13510,60,
3,216458807,2020-08-11T00:00:00.000,16:44:00,BRONX,44,0,False,,,,25-44,M,BLACK,1004297.625000000000000,242846.187500000000000,40.833217557000069,-73.927555869999935,"{'type': 'Point', 'coordinates': [-73.92755586999994, 40.83321755700007]}",row-kttd_ptu2.d65u,rv-9fqh~shfe-ee29,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,27,10930,50,
4,216458279,2020-08-11T00:00:00.000,00:55:00,BROOKLYN,78,2,False,,,,45-64,M,BLACK,988789.437500000000000,188204.671875000000000,40.683262164000041,-73.983634286999973,"{'type': 'Point', 'coordinates': [-73.98363428699997, 40.68326216400004]}",row-35td.6suy-zgg9,rv-9y9m_ufkm_b2d6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,38,54,17619,68,MULTI DWELL - PUBLIC HOUS
5,216458808,2020-08-11T00:00:00.000,21:30:00,BROOKLYN,61,0,True,18-24,M,BLACK,18-24,M,WHITE,1002164.000000000000000,155040.000000000000000,40.592215270000054,-73.935499721999975,"{'type': 'Point', 'coordinates': [-73.93549972199997, 40.592215270000054]}",row-m3by_y4je_gh32,rv-mb6j-8p7d-zpve,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,15,36,13826,32,
6,216458809,2020-08-11T00:00:00.000,22:34:00,BROOKLYN,84,2,False,,,,25-44,M,BLACK,989326.687500000000000,194191.531250000000000,40.699694423000039,-73.981692696999971,"{'type': 'Point', 'coordinates': [-73.98169269699997, 40.69969442300004]}",row-tb25-65i6~wc5s,rv-mvjk_49mc_u4ns,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,54,16865,68,MULTI DWELL - PUBLIC HOUS
7,216458280,2020-08-11T00:00:00.000,01:01:00,BRONX,42,0,False,25-44,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,1013829.812500000000000,242036.218750000000000,40.830967646000033,-73.893113249999942,"{'type': 'Point', 'coordinates': [-73.89311324999994, 40.83096764600003]}",row-cm8t~r8tp_z5ut,rv-fip3.q3nz_bdx3,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,25,10937,34,
8,216458806,2020-08-11T00:00:00.000,04:11:00,BRONX,40,0,False,,,,18-24,M,WHITE HISPANIC,1009962.812500000000000,234433.062500000000000,40.810111240000026,-73.907115977999979,"{'type': 'Point', 'coordinates': [-73.90711597799998, 40.810111240000026]}",row-23wn.37kt.qmg8,rv-djs8_b3de.ukrt,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10933,49,
9,216458807,2020-08-11T00:00:00.000,16:44:00,BRONX,44,0,False,,,,18-24,M,BLACK,1004297.625000000000000,242846.187500000000000,40.833217557000069,-73.927555869999935,"{'type': 'Point', 'coordinates': [-73.92755586999994, 40.83321755700007]}",row-48fc_k38s-9mq7,rv-y9mc.em6h~j357,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,35,27,10930,50,
10,216401363,2020-08-10T00:00:00.000,15:20:00,STATEN ISLAND,121,0,False,18-24,M,BLACK,25-44,M,BLACK,938372.687500000000000,169289.750000000000000,40.631227203000037,-74.165285395999945,"{'type': 'Point', 'coordinates': [-74.16528539599994, 40.63122720300004]}",row-inz6-ipcm~9bh8,rv-kynu.ywtv~r9jd,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4,
11,216401363,2020-08-10T00:00:00.000,15:20:00,STATEN ISLAND,121,0,False,<18,M,BLACK,25-44,M,BLACK,938372.687500000000000,169289.750000000000000,40.631227203000037,-74.165285395999945,"{'type': 'Point', 'coordinates': [-74.16528539599994, 40.63122720300004]}",row-y5h7_f476.gs8d,rv-zbe3_aen9~rtxj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4,
12,216401363,2020-08-10T00:00:00.000,15:20:00,STATEN ISLAND,121,0,False,<18,M,BLACK,18-24,M,BLACK,938372.687500000000000,169289.750000000000000,40.631227203000037,-74.165285395999945,"{'type': 'Point', 'coordinates': [-74.16528539599994, 40.63122720300004]}",row-c54p_i3uy-etzb,rv-bg9s_zp8f.nbwc,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4,
13,216401363,2020-08-10T00:00:00.000,15:20:00,STATEN ISLAND,121,0,False,18-24,M,BLACK,18-24,M,BLACK,938372.687500000000000,169289.750000000000000,40.631227203000037,-74.165285395999945,"{'type': 'Point', 'coordinates': [-74.16528539599994, 40.63122720300004]}",row-sq7h_u3by_nqpy,rv-iipu-7iiy-7pm3,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,75,10371,4,
14,216401778,2020-08-10T00:00:00.000,23:30:00,BRONX,48,0,False,,,,<18,F,BLACK,1015742.500000000000000,247472.500000000000000,40.845882037000081,-73.886176135999960,"{'type': 'Point', 'coordinates': [-73.88617613599996, 40.84588203700008]}",row-z8rr-u4m7_gzgr,rv-45wf-m4hr.vyg9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,11269,35,
15,216401779,2020-08-10T00:00:00.000,22:00:00,QUEENS,105,0,False,,,,25-44,M,BLACK,1057505.750000000000000,199399.234375000000000,40.713686530000075,-73.735753397999986,"{'type': 'Point', 'coordinates': [-73.73575339799999, 40.713686530000075]}",row-vf3u-6wce~tzym,rv-jkij~p2qp.ycuz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,63,24338,63,
16,216401778,2020-08-10T00:00:00.000,23:30:00,BRONX,48,0,False,,,,18-24,M,BLACK,1015742.500000000000000,247472.500000000000000,40.845882037000081,-73.886176135999960,"{'type': 'Point', 'coordinates': [-73.88617613599996, 40.84588203700008]}",row-9qhd-r5jr-m3p8,rv-vu76_zcvp-sx3r,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,11269,35,
17,216360329,2020-08-09T00:00:00.000,17:45:00,BROOKLYN,77,0,True,,,,45-64,M,BLACK,1004890.000000000000000,182836.000000000000000,40.668503474000033,-73.925599400999943,"{'type': 'Point', 'coordinates': [-73.92559940099994, 40.66850347400003]}",row-nacx-g7fp_apdr,rv-hktj~pgfs.jh2w,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,49,17615,16,
18,216354516,2020-08-09T00:00:00.000,02:56:00,MANHATTAN,26,0,False,25-44,M,BLACK,18-24,M,BLACK,996358.000000000000000,235620.000000000000000,40.813398172000063,-73.956260118999978,"{'type': 'Point', 'coordinates': [-73.95626011899998, 40.81339817200006]}",row-4e6v.z6vm_fz72,rv-bgvi~gzqn~7r3q,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,23,17,12424,37,
19,216360328,2020-08-09T00:00:00.000,22:31:00,BRONX,40,2,False,,,,18-24,M,WHITE HISPANIC,1005754.875000000000000,234895.515625000000000,40.811391789000027,-73.922315324999943,"{'type': 'Point', 'coordinates': [-73.92231532499994, 40.81139178900003]}",row-jx8d~2qtg_wdky,rv-rqbw-2yhd~jdnu,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49,MULTI DWELL - PUBLIC HOUS
20,216360326,2020-08-09T00:00:00.000,04:20:00,QUEENS,105,0,True,25-44,M,BLACK,25-44,M,BLACK,1049781.625000000000000,180259.375000000000000,40.661212771000066,-73.763801869999952,"{'type': 'Point', 'coordinates': [-73.76380186999995, 40.661212771000066]}",row-8pu4_gnrg.7tww,rv-3v9j-tvv7-caua,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,47,63,15313,63,
21,216355705,2020-08-09T00:00:00.000,04:25:00,MANHATTAN,9,0,False,,,,18-24,M,BLACK,990407.000000000000000,202058.000000000000000,40.721285330000057,-73.977789424999969,"{'type': 'Point', 'coordinates': [-73.97778942499997, 40.72128533000006]}",row-rkv5~f537.mx7h,rv-bcrt.xyav_mgn4,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,50,5,11729,70,
22,216360325,2020-08-09T00:00:00.000,22:40:00,BROOKLYN,79,2,False,,,,25-44,M,BLACK,995619.250000000000000,190845.593750000000000,40.690504753000027,-73.959004620999963,"{'type': 'Point', 'coordinates': [-73.95900462099996, 40.69050475300003]}",row-8xzn~am6y-3nwb,rv-3kzh-xy3u.6apq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,38,51,17212,69,MULTI DWELL - PUBLIC HOUS
23,216355702,2020-08-09T00:00:00.000,04:26:00,MANHATTAN,32,0,False,,,,25-44,M,BLACK,1000493.250000000000000,236571.812500000000000,40.816003996000063,-73.941318824999939,"{'type': 'Point', 'coordinates': [-73.94131882499994, 40.81600399600006]}",row-ztgj~2w56_aqbs,rv-rejn_xv9h_2w6q,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,20,12427,18,
24,216355701,2020-08-09T00:00:00.000,04:00:00,BRONX,46,0,False,25-44,M,BLACK,45-64,M,BLACK,1008176.125000000000000,249832.218750000000000,40.852382509000051,-73.913515318999941,"{'type': 'Point', 'coordinates': [-73.91351531899994, 40.85238250900005]}",row-khft_uktu-xy3a,rv-uk32.b9be~8ney,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,29,29,10931,6,
25,216353085,2020-08-09T00:00:00.000,00:50:00,QUEENS,110,0,False,18-24,M,BLACK,18-24,M,BLACK,1018631.687500000000000,209208.046875000000000,40.740845775000025,-73.875929459999952,"{'type': 'Point', 'coordinates': [-73.87592945999995, 40.740845775000025]}",row-2syg~t22v~3neu,rv-n275.9tee.sqv8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,5,68,14784,66,
26,216355703,2020-08-09T00:00:00.000,05:07:00,BRONX,43,0,False,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1017862.812500000000000,241678.328125000000000,40.829970912000078,-73.878541603999963,"{'type': 'Point', 'coordinates': [-73.87854160399996, 40.82997091200008]}",row-4y5w-udpp-djq6,rv-arqe_e9rj-ppkj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,31,26,11610,58,
27,216360327,2020-08-09T00:00:00.000,03:24:00,QUEENS,114,0,True,,,,18-24,M,WHITE,999778.750000000000000,214952.625000000000000,40.756666391000067,-73.943950099999938,"{'type': 'Point', 'coordinates': [-73.94395009999994, 40.75666639100007]}",row-wtw6_knkv_j2gq,rv-3z8a_cgd5_7e74,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,33,72,16858,39,
28,216360325,2020-08-09T00:00:00.000,22:40:00,BROOKLYN,79,2,False,,,,18-24,M,BLACK,995619.250000000000000,190845.593750000000000,40.690504753000027,-73.959004620999963,"{'type': 'Point', 'coordinates': [-73.95900462099996, 40.69050475300003]}",row-twh8-kess~ixki,rv-s62m.uyw4-2jrf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,38,51,17212,69,MULTI DWELL - PUBLIC HOUS
