,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,298699604,2024-12-31T00:00:00.000,19:16:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),False,25-44,M,BLACK,18-24,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,"{'type': 'Point', 'coordinates': [-73.888761, 40.643866]}",row-2r92-kchq.j732,rv-7bjq.c54g_652q,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,8,42,13827,5
1,298699604,2024-12-31T00:00:00.000,19:16:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,"1,015,120","173,870",40.643866,-73.888761,"{'type': 'Point', 'coordinates': [-73.888761, 40.643866]}",row-3err-u7gv.mddi,rv-jmbw~jwvw.ksv4,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,8,42,13827,5
2,298672096,2024-12-30T00:00:00.000,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,"1,021,316","259,277",40.878261,-73.865964,"{'type': 'Point', 'coordinates': [-73.865964, 40.878261]}",row-vwjz_4bzc-96sb,rv-u2zi.ekyb.f7du,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,2,30,11605,29
3,298672097,2024-12-30T00:00:00.000,18:48:00,BROOKLYN,OUTSIDE,60,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,45-64,M,BLACK,"989,372","155,205",40.592685,-73.981557,"{'type': 'Point', 'coordinates': [-73.981557, 40.592685]}",row-p3fe-cggc.z3qs,rv-vd4r.5p4h_tdix,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,2,45,35,18183,21
4,298672096,2024-12-30T00:00:00.000,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),<18,F,WHITE HISPANIC,"1,021,316","259,277",40.878261,-73.865964,"{'type': 'Point', 'coordinates': [-73.865964, 40.878261]}",row-je5d~pzuh~fqvx,rv-4idt_a6qg-gcwq,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,2,30,11605,29
5,298672094,2024-12-30T00:00:00.000,12:15:00,BRONX,OUTSIDE,52,0,STREET,(null),False,45-64,M,BLACK,25-44,M,WHITE,"1,017,719","260,875",40.882661,-73.878964,"{'type': 'Point', 'coordinates': [-73.878964, 40.882661]}",row-c2qm~6nvj_gk96,rv-went-bu25_q7km,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,40,34,11605,24
6,298672096,2024-12-30T00:00:00.000,16:45:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),25-44,F,WHITE HISPANIC,"1,021,316","259,277",40.878261,-73.865964,"{'type': 'Point', 'coordinates': [-73.865964, 40.878261]}",row-5eq9_idsu_9wuh,rv-5d2q.99g4_sdum,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,2,30,11605,29
7,298672095,2024-12-30T00:00:00.000,20:32:00,BRONX,INSIDE,41,0,DWELLING,MULTI DWELL - APT BUILD,True,18-24,M,BLACK,25-44,M,BLACK,"1,012,201","240,878",40.827795,-73.899003,"{'type': 'Point', 'coordinates': [-73.899003, 40.827795]}",row-36cm.bd2j.bx9h,rv-42f9_hk72~zf2e,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,5,43,25,10937,34
8,298628071,2024-12-29T00:00:00.000,17:24:00,MANHATTAN,OUTSIDE,23,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,"999,007","229,814",40.79745,-73.946702,"{'type': 'Point', 'coordinates': [-73.946702, 40.79745]}",row-uvf5.vqpj.n57p,rv-sr7c_2kwq_arp2,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,4,36,14,12426,7
9,298628070,2024-12-29T00:00:00.000,16:21:00,BRONX,OUTSIDE,43,0,STREET,(null),False,18-24,M,BLACK,<18,M,BLACK,"1,020,219","239,110",,,,row-3rx3~mhef-bh3r,rv-vc9y.4esi_8mfw,2025-04-15T18:16:42.705Z,2025-04-15T18:16:46.643Z,,,,,
