,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,perp_age_group,perp_sex,perp_race
0,159827412,2017-01-01T00:00:00.000,00:05:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,45-64,M,WHITE HISPANIC,1009968.250000000000000,182502.453125000000000,40.667574668000043,-73.907294862999947,"{'type': 'Point', 'coordinates': [-73.90729486299995, 40.66757466800004]}",row-yhi7-238u-q4bq,rv-hqcc_enur~tx3z,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,17614,55,,,
1,159827171,2017-01-01T00:00:00.000,05:54:00,BRONX,42,0,,False,25-44,M,WHITE HISPANIC,1014366.437500000000000,242624.093750000000000,40.832579380000027,-73.891171489999977,"{'type': 'Point', 'coordinates': [-73.89117148999998, 40.83257938000003]}",row-rbfc.iihy_ehgj,rv-md7d.5uyi~qhn9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,25,10937,34,25-44,M,BLACK
2,159826971,2016-12-31T00:00:00.000,20:40:00,BROOKLYN,71,0,,False,25-44,M,BLACK,995908.000000000000000,183618.000000000000000,40.670666272000062,-73.957975907999980,"{'type': 'Point', 'coordinates': [-73.95797590799998, 40.67066627200006]}",row-y26r_hxeg_57qh,rv-9xzy~hub6~yfti,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,49,13829,16,,,
3,159826969,2016-12-31T00:00:00.000,21:00:00,BROOKLYN,73,0,,False,18-24,M,BLACK,1008549.000000000000000,178741.000000000000000,40.657254322000028,-73.912424385999941,"{'type': 'Point', 'coordinates': [-73.91242438599994, 40.65725432200003]}",row-wt7i.vyad-nzap,rv-7rcz_6eap~xx5d,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,46,17614,55,,,
4,159826970,2016-12-31T00:00:00.000,15:40:00,BROOKLYN,73,0,,False,25-44,M,WHITE HISPANIC,1010722.625000000000000,180038.593750000000000,40.660809699000026,-73.904585243999975,"{'type': 'Point', 'coordinates': [-73.90458524399997, 40.660809699000026]}",row-q3p8-jd7f~4gjx,rv-ckx6_rxnw.dzvi,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,46,17614,55,18-24,M,BLACK
5,159826968,2016-12-31T00:00:00.000,11:35:00,BROOKLYN,60,0,,False,25-44,M,BLACK,990784.000000000000000,149362.000000000000000,40.576645978000045,-73.976480395999943,"{'type': 'Point', 'coordinates': [-73.97648039599994, 40.576645978000045]}",row-jjnk_zsh9_evp7,rv-ycrv.ki3h_96dq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,15,35,18184,21,,,
6,159826967,2016-12-31T00:00:00.000,04:15:00,QUEENS,108,0,,False,25-44,M,BLACK,1003557.250000000000000,210468.390625000000000,40.744350858000075,-73.930324403999975,"{'type': 'Point', 'coordinates': [-73.93032440399998, 40.744350858000075]}",row-whaa~wi3h_9tfc,rv-4vph.9ewb.fbx7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,33,66,16858,53,,,
7,159815408,2016-12-31T00:00:00.000,01:05:00,BROOKLYN,67,0,BAR/NIGHT CLUB,True,25-44,M,WHITE HISPANIC,996529.375000000000000,175456.671875000000000,40.648264381000047,-73.955750794999972,"{'type': 'Point', 'coordinates': [-73.95575079499997, 40.64826438100005]}",row-ac92-j9jk~fbpx,rv-n8fg_aevt.zumf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,11,43,13510,60,18-24,M,WHITE HISPANIC
8,159789421,2016-12-30T00:00:00.000,00:40:00,BRONX,44,0,GROCERY/BODEGA,True,25-44,M,BLACK,1009122.062500000000000,244346.218750000000000,40.837322440000037,-73.910116373999983,"{'type': 'Point', 'coordinates': [-73.91011637399998, 40.83732244000004]}",row-kstu~iwa2.243v,rv-ykz8.khxv~d9vj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10934,50,,,
9,159801498,2016-12-30T00:00:00.000,17:42:00,QUEENS,113,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1044553.000000000000000,188700.562500000000000,40.684419022000043,-73.782572117999962,"{'type': 'Point', 'coordinates': [-73.78257211799996, 40.68441902200004]}",row-u3m5~kzix_iz9d,rv-nmy5~u72r_x642,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,71,24669,41,18-24,M,BLACK
10,159763967,2016-12-29T00:00:00.000,15:14:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,1010158.312500000000000,242490.515625000000000,40.832226094000077,-73.906378642999982,"{'type': 'Point', 'coordinates': [-73.90637864299998, 40.83222609400008]}",row-ejjv_b6pm~kf35,rv-r7i9.jjn3~afiw,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,25,10934,34,,,
11,159759238,2016-12-29T00:00:00.000,04:17:00,QUEENS,110,0,,False,18-24,M,WHITE HISPANIC,1015468.000000000000000,210699.000000000000000,40.744949799000040,-73.887339215999987,"{'type': 'Point', 'coordinates': [-73.88733921599999, 40.74494979900004]}",row-tqbv~i2ib_a8t6,rv-xwzy.zd6a_jpgj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,5,68,14784,66,25-44,M,WHITE HISPANIC
12,159746851,2016-12-28T00:00:00.000,20:50:00,BROOKLYN,71,0,,False,25-44,M,BLACK,1003321.875000000000000,182442.953125000000000,40.667428165000047,-73.931253209999966,"{'type': 'Point', 'coordinates': [-73.93125320999997, 40.66742816500005]}",row-zn36_vk36~az32,rv-7cpy.q5v2-6srs,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,44,17615,17,,,
13,159681480,2016-12-27T00:00:00.000,10:40:00,MANHATTAN,28,0,,False,25-44,M,BLACK,997171.687500000000000,231564.296875000000000,40.802265235000050,-73.953328399999975,"{'type': 'Point', 'coordinates': [-73.95332839999998, 40.80226523500005]}",row-ss7a.sx5i-w3ug,rv-v6vz.xyw9_ey2y,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,18,12423,18,25-44,M,BLACK HISPANIC
14,159696813,2016-12-27T00:00:00.000,00:15:00,BROOKLYN,67,0,,False,<18,M,BLACK,1003291.937500000000000,180090.093750000000000,40.660970152000061,-73.931367768999962,"{'type': 'Point', 'coordinates': [-73.93136776899996, 40.66097015200006]}",row-62qz.hks4-x9be,rv-tgvk_99zn~qhqr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,44,16866,17,,,
15,159673397,2016-12-26T00:00:00.000,12:45:00,STATEN ISLAND,120,0,,True,25-44,M,BLACK,961832.625000000000000,166710.218750000000000,40.624237371000049,-74.080756883999982,"{'type': 'Point', 'coordinates': [-74.08075688399998, 40.62423737100005]}",row-8bg5.npwn~ic4i,rv-e43i~v9si-cmvc,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,74,10691,4,25-44,M,BLACK
16,159660200,2016-12-26T00:00:00.000,15:20:00,BROOKLYN,77,0,,False,25-44,M,WHITE HISPANIC,1002251.375000000000000,183677.140625000000000,40.670817975000034,-73.935108734999972,"{'type': 'Point', 'coordinates': [-73.93510873499997, 40.670817975000034]}",row-b7ev_dz3t.u5p7,rv-u7yt-dc4k-m2bf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,48,49,17615,16,,,
17,159645637,2016-12-25T00:00:00.000,12:51:00,BROOKLYN,67,0,,True,25-44,M,BLACK,1003730.000000000000000,174756.000000000000000,40.646328278000055,-73.929804248999972,"{'type': 'Point', 'coordinates': [-73.92980424899997, 40.646328278000055]}",row-p4qc.652j_bkfk,rv-ax4j-hvf8~kzgq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,16866,61,,,
18,159645636,2016-12-25T00:00:00.000,22:44:00,BRONX,48,0,,False,18-24,M,WHITE HISPANIC,1014314.000000000000000,248052.000000000000000,40.847477572000059,-73.891336649999971,"{'type': 'Point', 'coordinates': [-73.89133664999997, 40.84747757200006]}",row-5jug-r5ha~jdym,rv-9axq~gday.pup5,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,10935,35,,,
19,159642019,2016-12-25T00:00:00.000,16:35:00,BROOKLYN,67,0,,False,25-44,M,BLACK,1007162.000000000000000,179762.000000000000000,40.660060440000052,-73.917419858999949,"{'type': 'Point', 'coordinates': [-73.91741985899995, 40.66006044000005]}",row-mqz5~kf9d.v56m,rv-pa4n~heju-kxpc,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,17614,55,,,
20,159642018,2016-12-24T00:00:00.000,04:31:00,BROOKLYN,77,0,,False,25-44,M,BLACK HISPANIC,993463.187500000000000,186699.812500000000000,40.679128036000066,-73.966784916999984,"{'type': 'Point', 'coordinates': [-73.96678491699998, 40.679128036000066]}",row-z4dx~r4v2-k7rq,rv-q5kc~extq_whvs,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,49,13829,16,,,
21,159642018,2016-12-24T00:00:00.000,04:31:00,BROOKLYN,77,0,,False,25-44,M,BLACK,993463.187500000000000,186699.812500000000000,40.679128036000066,-73.966784916999984,"{'type': 'Point', 'coordinates': [-73.96678491699998, 40.679128036000066]}",row-jhd4_mzys-v44h,rv-cbhi-kfce-sbkt,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,49,13829,16,,,
22,159641529,2016-12-23T00:00:00.000,22:58:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1016132.937500000000000,178622.984375000000000,40.656906337000066,-73.885091379999949,"{'type': 'Point', 'coordinates': [-73.88509137999995, 40.656906337000066]}",row-3f4n_qcph.hkw4,rv-tumm~v65w~6hrk,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,47,17214,45,25-44,M,BLACK
23,159641528,2016-12-23T00:00:00.000,18:15:00,BROOKLYN,67,0,,False,18-24,M,BLACK,1006459.000000000000000,177115.000000000000000,40.652796798000054,-73.919962393999981,"{'type': 'Point', 'coordinates': [-73.91996239399998, 40.652796798000054]}",row-bh37.kuqq_rmnf,rv-7c6k-gc4j.hubs,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,17,40,13827,61,,,
24,159596333,2016-12-22T00:00:00.000,21:20:00,BROOKLYN,77,0,,False,18-24,F,BLACK,998493.875000000000000,186459.890625000000000,40.678462840000066,-73.948648168999966,"{'type': 'Point', 'coordinates': [-73.94864816899997, 40.678462840000066]}",row-h2pp_qqqm~c2e4,rv-58g9~kw35_jq5a,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,49,51,17618,69,,,
25,159524940,2016-12-20T00:00:00.000,20:24:00,BRONX,42,0,,True,18-24,M,BLACK,1015202.000000000000000,245282.000000000000000,40.839871670000036,-73.888139805999970,"{'type': 'Point', 'coordinates': [-73.88813980599997, 40.839871670000036]}",row-v78e.vxt7-xd58,rv-b5i3~7afb.r6iv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,31,11269,35,18-24,M,WHITE HISPANIC
