,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,80341321,2011-08-17T00:00:00.000,20:55:00,BRONX,45,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK HISPANIC,18-24,M,BLACK,1033508.250000000000000,254253.968750000000000,40.864413880000029,-73.821914585999934,"{'type': 'Point', 'coordinates': [-73.82191458599993, 40.86441388000003]}",row-svjp_95e2.bzey,rv-7mdt.esbp.xac7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,2,28,12344,43
1,80319948,2011-08-16T00:00:00.000,12:30:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,982408.125000000000000,185878.187500000000000,40.676877462000050,-74.006641775999981,"{'type': 'Point', 'coordinates': [-74.00664177599998, 40.67687746200005]}",row-bca6-27cs~2a8s,rv-fjn7-8uk5.cdnk,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,7,48,13514,14
2,80309233,2011-08-16T00:00:00.000,02:23:00,BROOKLYN,69,0,MULTI DWELL - APT BUILD,False,,,,25-44,M,BLACK,1012917.625000000000000,169087.515625000000000,40.630744534000030,-73.896720272999971,"{'type': 'Point', 'coordinates': [-73.89672027299997, 40.63074453400003]}",row-g537-v2d9~qtbg,rv-jrm7_eusv.gafp,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,8,42,13827,5
3,80319949,2011-08-16T00:00:00.000,16:56:00,BROOKLYN,79,0,,False,,,,18-24,M,BLACK,997872.000000000000000,189548.000000000000000,40.686939976000076,-73.950883965999935,"{'type': 'Point', 'coordinates': [-73.95088396599994, 40.686939976000076]}",row-x2ih_jshr~tnba,rv-tkdy_w7np_34eg,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,51,17618,69
4,80328706,2011-08-16T00:00:00.000,23:40:00,BROOKLYN,83,0,,False,25-44,M,BLACK,18-24,M,BLACK,1007496.812500000000000,190500.750000000000000,40.689535010000043,-73.916176060999987,"{'type': 'Point', 'coordinates': [-73.91617606099999, 40.68953501000004]}",row-x486_xxfu_3w5n,rv-9qzx_9pk7~nuv6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,53,18181,42
5,80320379,2011-08-16T00:00:00.000,17:14:00,MANHATTAN,23,0,,False,UNKNOWN,M,WHITE HISPANIC,25-44,M,BLACK,1000654.687500000000000,228899.296875000000000,40.794944757000053,-73.940754338999966,"{'type': 'Point', 'coordinates': [-73.94075433899997, 40.79494475700005]}",row-5rhx.5y3y_v37e,rv-y9pq_fwdf~zdzi,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,35,14,12426,7
6,80328708,2011-08-16T00:00:00.000,19:04:00,MANHATTAN,25,0,,False,18-24,M,BLACK,45-64,F,WHITE HISPANIC,1001446.000000000000000,234215.000000000000000,40.809533401000067,-73.937882825999964,"{'type': 'Point', 'coordinates': [-73.93788282599996, 40.80953340100007]}",row-qbi7.vza2_qyj9,rv-527h~hge3.x9ys,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,16,13095,7
7,80328708,2011-08-16T00:00:00.000,19:04:00,MANHATTAN,25,0,,False,18-24,M,BLACK,18-24,M,BLACK,1001446.000000000000000,234215.000000000000000,40.809533401000067,-73.937882825999964,"{'type': 'Point', 'coordinates': [-73.93788282599996, 40.80953340100007]}",row-j8m4.ud92.58t5,rv-b3y6.fsrw~uwiu,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,36,16,13095,7
8,80328705,2011-08-16T00:00:00.000,23:34:00,BRONX,40,0,GROCERY/BODEGA,False,,,,25-44,M,WHITE HISPANIC,1007292.312500000000000,238953.109375000000000,40.822524867000027,-73.916747420999968,"{'type': 'Point', 'coordinates': [-73.91674742099997, 40.82252486700003]}",row-zgnz-8ihy_ticc,rv-qhv9.ws2x-vxby,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,43,23,10929,49
9,80309232,2011-08-15T00:00:00.000,23:43:00,BROOKLYN,81,0,,True,,,,18-24,M,BLACK,1002701.062500000000000,190691.234375000000000,40.690069143000073,-73.933468464999976,"{'type': 'Point', 'coordinates': [-73.93346846499998, 40.69006914300007]}",row-nhmf-2mgd_4e75,rv-3z3d.zhng-g3ym,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,52,18181,69
