,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,209281500,2020-02-08T00:00:00.000,12:13:00,QUEENS,115,0,True,25-44,M,BLACK,25-44,M,BLACK,1021013.875000000000000,214934.703125000000000,40.756554407000067,-73.867301651999981,"{'type': 'Point', 'coordinates': [-73.86730165199998, 40.75655440700007]}",row-9gmn.z5yh-ft4a,rv-s83k_4298_b54h,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,73,14510,65,
1,209281497,2020-02-08T00:00:00.000,02:20:00,BROOKLYN,76,0,True,25-44,M,BLACK,25-44,M,BLACK,983870.000000000000000,183741.390625000000000,40.671012618000077,-74.001371299999960,"{'type': 'Point', 'coordinates': [-74.00137129999996, 40.67101261800008]}",row-ncsz~yif4-vx4z,rv-rdyu-65hg-vais,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,7,48,13514,14,
2,209281498,2020-02-07T00:00:00.000,22:50:00,BROOKLYN,75,0,False,25-44,M,BLACK,25-44,F,BLACK,1013878.500000000000000,184467.593750000000000,40.672956315000079,-73.893190959999970,"{'type': 'Point', 'coordinates': [-73.89319095999997, 40.67295631500008]}",row-ua5k-uu5g_3c3z,rv-2p57_5gm3~je36,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,47,17214,45,
3,209099251,2020-02-05T00:00:00.000,04:02:00,QUEENS,101,0,False,,,,25-44,M,BLACK,1055616.000000000000000,156528.000000000000000,40.596030314000075,-73.743023724999944,"{'type': 'Point', 'coordinates': [-73.74302372499994, 40.596030314000075]}",row-9fwp_fskh_4dpd,rv-j5p4.uzks.rtqm,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,47,59,20529,51,MULTI DWELL - APT BUILD
4,209098666,2020-02-05T00:00:00.000,23:13:00,MANHATTAN,34,0,False,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1003542.875000000000000,250845.687500000000000,40.855175519000056,-73.930260274999966,"{'type': 'Point', 'coordinates': [-73.93026027499997, 40.855175519000056]}",row-4vzy~7aei-mmp7,rv-x246.nuvy_778g,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
5,209099250,2020-02-05T00:00:00.000,11:51:00,QUEENS,101,0,False,,,,45-64,M,BLACK,1053921.375000000000000,158768.796875000000000,40.602194308000037,-73.749102657999970,"{'type': 'Point', 'coordinates': [-73.74910265799997, 40.60219430800004]}",row-iqug.afsc.2cnv,rv-tzfi~r3ws~gqmz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,47,59,20529,51,
6,209029422,2020-02-04T00:00:00.000,18:43:00,BROOKLYN,75,0,True,18-24,F,BLACK,18-24,M,BLACK,1017107.562500000000000,182186.046875000000000,40.666682587000025,-73.881561351999949,"{'type': 'Point', 'coordinates': [-73.88156135199995, 40.666682587000025]}",row-mf7h-v6nw-7gf6,rv-twei~sr65~n38m,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,47,17215,45,
7,209029422,2020-02-04T00:00:00.000,18:43:00,BROOKLYN,75,0,True,18-24,M,BLACK,18-24,M,BLACK,1017107.562500000000000,182186.046875000000000,40.666682587000025,-73.881561351999949,"{'type': 'Point', 'coordinates': [-73.88156135199995, 40.666682587000025]}",row-9xmz.mvd7~jzjh,rv-xcyc~i453_6b84,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,25,47,17215,45,
8,208955529,2020-02-03T00:00:00.000,21:12:00,BRONX,47,0,True,45-64,M,BLACK,25-44,M,BLACK,1024708.437500000000000,266922.218750000000000,40.899228954000080,-73.853652594999971,"{'type': 'Point', 'coordinates': [-73.85365259499997, 40.89922895400008]}",row-ssux_iqim-azf2,rv-zd9j~ef3r-f32r,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,40,30,11608,29,
9,208899477,2020-02-02T00:00:00.000,15:55:00,BROOKLYN,84,0,False,<18,M,BLACK,<18,M,BLACK,989364.562500000000000,190352.156250000000000,40.689156204000028,-73.981559016999938,"{'type': 'Point', 'coordinates': [-73.98155901699994, 40.68915620400003]}",row-ytza~v3xh~anfj,rv-azz3_brcz_di22,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,38,54,17619,68,
