,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,268208976,2023-05-13T00:00:00.000,12:20:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),False,25-44,F,BLACK,25-44,M,BLACK,1008676,178766,40.657315,-73.911963,"{'type': 'Point', 'coordinates': [-73.911963, 40.657315]}",row-ff26~24if_h7jt,rv-p4kg-6u9y-rxfs,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,2,25,46,17614,55
1,268199269,2023-05-13T00:00:00.000,03:17:00,BRONX,OUTSIDE,48,0,STREET,(null),False,<18,M,BLACK,25-44,F,BLACK HISPANIC,1013706,252409,40.85943,-73.893513,"{'type': 'Point', 'coordinates': [-73.893513, 40.85943]}",row-etgb_jq37.a4vc,rv-n2af_gega.c2vc,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,5,22,29,10936,6
2,268199267,2023-05-13T00:00:00.000,00:36:00,BRONX,OUTSIDE,47,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1027323,261474,40.884257,-73.844227,"{'type': 'Point', 'coordinates': [-73.844227, 40.884257]}",row-46j7-hf4u-3sqn,rv-dyvz.72ch.mnx6,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,5,2,30,11275,29
3,268441196,2023-05-12T00:00:00.000,23:11:00,QUEENS,OUTSIDE,108,0,STREET,GROCERY/BODEGA,False,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1005878,210176,40.743537,-73.921946,"{'type': 'Point', 'coordinates': [-73.921946, 40.743537]}",row-ftb9-2qp5.dx97,rv-jhbf_kke4_c4bc,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,3,33,66,16861,53
4,268197444,2023-05-12T00:00:00.000,09:44:00,BROOKLYN,OUTSIDE,69,0,COMMERCIAL,(null),True,25-44,M,BLACK,25-44,M,BLACK,1006751,170702,40.635188,-73.918929,"{'type': 'Point', 'coordinates': [-73.918929, 40.635188]}",row-ckiy_efec.z72w,rv-mbvk~3x66_9s9v,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,2,26,38,13825,5
5,268197446,2023-05-12T00:00:00.000,21:39:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1023658,263623,40.890172,-73.857469,"{'type': 'Point', 'coordinates': [-73.857469, 40.890172]}",row-uicu_f3e6~vm54,rv-u6ma-xxq2-vk7z,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,5,2,30,11275,29
6,268199266,2023-05-12T00:00:00.000,22:10:00,MANHATTAN,OUTSIDE,24,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,<18,F,WHITE HISPANIC,993952,229422,40.796382,-73.964958,"{'type': 'Point', 'coordinates': [-73.964958, 40.796382]}",row-ds96~9fqg~zjm5,rv-q8b8.csj5_uh7d,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,4,23,15,12422,20
7,268197445,2023-05-12T00:00:00.000,15:09:00,BRONX,OUTSIDE,49,0,COMMERCIAL,(null),False,18-24,M,BLACK,18-24,M,BLACK,1020860,251009,40.855563,-73.867658,"{'type': 'Point', 'coordinates': [-73.867658, 40.855563]}",row-7mur-aub3_eyjr,rv-jhb9-jak3~cdiv,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,5,12,32,11271,59
8,268197445,2023-05-12T00:00:00.000,15:09:00,BRONX,OUTSIDE,49,0,COMMERCIAL,(null),False,18-24,M,BLACK,<18,M,BLACK,1020860,251009,40.855563,-73.867658,"{'type': 'Point', 'coordinates': [-73.867658, 40.855563]}",row-gxir~f3x7~avkn,rv-2vnj-54mg.kix8,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,5,12,32,11271,59
9,268088261,2023-05-11T00:00:00.000,00:41:00,BROOKLYN,INSIDE,77,0,DWELLING,(null),True,(null),(null),(null),25-44,M,BLACK,1004579,183837,40.671245,-73.926713,"{'type': 'Point', 'coordinates': [-73.926713, 40.671245]}",row-8u84-63im-6v2d,rv-3gmu.gpcg-xnui,2024-04-23T13:39:04.707Z,2024-04-23T13:39:06.793Z,2,49,49,17615,16
