,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,83215413,2012-02-16T00:00:00.000,15:19:00,BROOKLYN,90,0,PVT HOUSE,True,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE,993506.312500000000000,198315.656250000000000,40.711010792000025,-73.966613477999942,"{'type': 'Point', 'coordinates': [-73.96661347799994, 40.711010792000025]}",row-8s5x~7nuq-fzuv,rv-gq4b~iavy-d3ig,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,38,56,17613,36
1,83170423,2012-02-14T00:00:00.000,16:15:00,MANHATTAN,30,1,,False,45-64,M,BLACK,45-64,M,WHITE,999539.000000000000000,239499.000000000000000,40.824040004000040,-73.944759611999984,"{'type': 'Point', 'coordinates': [-73.94475961199998, 40.82404000400004]}",row-3mgs-asdt_3xyj,rv-7pbq-6fxz.x69w,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,19,12428,37
2,83148509,2012-02-13T00:00:00.000,21:00:00,BROOKLYN,79,0,,False,,,,18-24,M,BLACK,999406.000000000000000,190873.000000000000000,40.690574303000062,-73.945349771999986,"{'type': 'Point', 'coordinates': [-73.94534977199999, 40.69057430300006]}",row-heyw_7n5a.mkgw,rv-pthm_jmxb.pv5a,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,51,18181,69
3,83147905,2012-02-13T00:00:00.000,23:32:00,QUEENS,103,0,BAR/NIGHT CLUB,False,25-44,M,BLACK,25-44,M,BLACK,1041274.187500000000000,198082.046875000000000,40.710190677000071,-73.794314780999969,"{'type': 'Point', 'coordinates': [-73.79431478099997, 40.71019067700007]}",row-69di~6ztk-gg5v,rv-e8fk_d3gn.mzbh,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,24,65,24340,25
4,83133189,2012-02-13T00:00:00.000,04:56:00,BROOKLYN,67,0,BAR/NIGHT CLUB,False,25-44,M,BLACK,25-44,M,BLACK,1007805.062500000000000,175318.109375000000000,40.647861246000048,-73.915117594999970,"{'type': 'Point', 'coordinates': [-73.91511759499997, 40.64786124600005]}",row-mryv.h622.3gkq,rv-qcyb.svwz.48ee,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,13827,61
5,83142668,2012-02-13T00:00:00.000,16:02:00,BRONX,48,0,,False,,,,25-44,M,BLACK HISPANIC,1014954.625000000000000,250220.265625000000000,40.853426612000078,-73.889011215999972,"{'type': 'Point', 'coordinates': [-73.88901121599997, 40.85342661200008]}",row-3ung_f8vn~apkj,rv-dztz_kskg-4uhp,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,10936,35
6,83141833,2012-02-13T00:00:00.000,13:32:00,QUEENS,100,0,MULTI DWELL - APT BUILD,False,45-64,M,BLACK,25-44,F,BLACK,1033656.125000000000000,152628.375000000000000,40.585476261000053,-73.822126019999985,"{'type': 'Point', 'coordinates': [-73.82212601999998, 40.58547626100005]}",row-s252-97vq_kdpy,rv-jfha-ve3j~95td,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,41,58,20532,51
7,83148510,2012-02-13T00:00:00.000,22:28:00,STATEN ISLAND,120,0,,False,45-64,M,BLACK,45-64,M,BLACK,952348.875000000000000,171370.515625000000000,40.636999818000049,-74.114942755999948,"{'type': 'Point', 'coordinates': [-74.11494275599995, 40.63699981800005]}",row-y9ex-6juc-ifez,rv-6v4f.qfvf~v679,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,1,13,74,10697,4
8,83143196,2012-02-13T00:00:00.000,17:51:00,QUEENS,103,0,LIQUOR STORE,True,18-24,M,BLACK,25-44,M,BLACK,1052627.375000000000000,196895.328125000000000,40.706852974000071,-73.753375998999957,"{'type': 'Point', 'coordinates': [-73.75337599899996, 40.70685297400007]}",row-7sf5-52mn-9wdx,rv-tfkj.2mz6~bdff,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,61,15312,41
9,83121694,2012-02-11T00:00:00.000,21:15:00,BROOKLYN,67,0,GROCERY/BODEGA,False,,,,18-24,M,BLACK,1004761.750000000000000,176978.906250000000000,40.652427343000056,-73.926079526999956,"{'type': 'Point', 'coordinates': [-73.92607952699996, 40.652427343000056]}",row-gadx.adsj-yskj,rv-imbh_dc9j~bjuq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,40,16866,61
10,83121694,2012-02-11T00:00:00.000,21:15:00,BROOKLYN,67,0,GROCERY/BODEGA,True,,,,18-24,M,BLACK,1004761.750000000000000,176978.906250000000000,40.652427343000056,-73.926079526999956,"{'type': 'Point', 'coordinates': [-73.92607952699996, 40.652427343000056]}",row-8pr2_hgnx_x65m,rv-h4dg_2cqv.gme8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,40,16866,61
11,83110628,2012-02-11T00:00:00.000,01:29:00,QUEENS,113,0,PVT HOUSE,False,,,,<18,M,BLACK HISPANIC,1050130.250000000000000,191741.625000000000000,40.692726257000061,-73.762433066999961,"{'type': 'Point', 'coordinates': [-73.76243306699996, 40.69272625700006]}",row-eeqc-vra2~9jzn,rv-fqmd-gxt5~eqqq,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,71,15312,41
12,83115121,2012-02-11T00:00:00.000,20:08:00,BRONX,46,0,MULTI DWELL - APT BUILD,False,45-64,M,BLACK,45-64,M,BLACK,1009931.000000000000000,248787.750000000000000,40.849510823000060,-73.907175949999953,"{'type': 'Point', 'coordinates': [-73.90717594999995, 40.84951082300006]}",row-ata8.yexc~52q9,rv-niv7.tph6.ffys,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,29,10931,6
13,83121696,2012-02-11T00:00:00.000,02:16:00,BRONX,42,0,,False,,,,18-24,M,BLACK HISPANIC,1012169.000000000000000,240117.000000000000000,40.825705348000042,-73.899122663999947,"{'type': 'Point', 'coordinates': [-73.89912266399995, 40.82570534800004]}",row-nr5a-8ftd-4izt,rv-uq3m~66yj.hzmj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,25,10937,34
14,83110563,2012-02-11T00:00:00.000,03:26:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK,982323.937500000000000,185643.203125000000000,40.676232466000044,-74.006945221999956,"{'type': 'Point', 'coordinates': [-74.00694522199996, 40.676232466000044]}",row-8kpz~5vxj_wapr,rv-hygn-uqmv-qcez,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,7,48,13514,14
