,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,193160952,2019-02-04T00:00:00.000,11:41:00,BROOKLYN,60,0,False,25-44,M,BLACK,45-64,F,BLACK,984147.312500000000000,150277.703125000000000,40.579161810000073,-74.000371105999989,"{'type': 'Point', 'coordinates': [-74.00037110599999, 40.57916181000007]}",row-43bk-mzsu~stnb,rv-x8ue.94ee_4ax9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,45,35,18184,21,
1,193160952,2019-02-04T00:00:00.000,11:41:00,BROOKLYN,60,0,False,25-44,M,BLACK,45-64,M,BLACK,984147.312500000000000,150277.703125000000000,40.579161810000073,-74.000371105999989,"{'type': 'Point', 'coordinates': [-74.00037110599999, 40.57916181000007]}",row-3m3h_msge.8psw,rv-vzyu.z8fk-2g5i,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,45,35,18184,21,
2,193160952,2019-02-04T00:00:00.000,11:41:00,BROOKLYN,60,0,True,25-44,M,BLACK,45-64,M,BLACK,984147.312500000000000,150277.703125000000000,40.579161810000073,-74.000371105999989,"{'type': 'Point', 'coordinates': [-74.00037110599999, 40.57916181000007]}",row-9uvp_fxcn~29se,rv-z2qi~8dda.565u,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,45,35,18184,21,
3,193162778,2019-02-04T00:00:00.000,20:38:00,MANHATTAN,32,2,False,,,,25-44,M,BLACK,998842.000000000000000,235648.578125000000000,40.813472857000079,-73.947286365999958,"{'type': 'Point', 'coordinates': [-73.94728636599996, 40.81347285700008]}",row-kmcc.3jzc_inuv,rv-y2jm_c5s9_55ph,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,20,12424,18,MULTI DWELL - PUBLIC HOUS
4,193118591,2019-02-03T00:00:00.000,12:43:00,QUEENS,115,1,True,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1018475.000000000000000,211969.000000000000000,40.748424502000034,-73.876480842999968,"{'type': 'Point', 'coordinates': [-73.87648084299997, 40.748424502000034]}",row-jkrj_ebeg-8pza,rv-xbrn_e36i_m99t,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,73,14784,65,
5,193118589,2019-02-03T00:00:00.000,23:10:00,BROOKLYN,67,0,True,,,,25-44,M,BLACK,1003611.625000000000000,172782.515625000000000,40.640911749000054,-73.930236482999987,"{'type': 'Point', 'coordinates': [-73.93023648299999, 40.640911749000054]}",row-frvg~mq32-te83,rv-x4rm_jd2y.wdyp,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,16866,61,
6,193118591,2019-02-03T00:00:00.000,12:43:00,QUEENS,115,1,True,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1018475.000000000000000,211969.000000000000000,40.748424502000034,-73.876480842999968,"{'type': 'Point', 'coordinates': [-73.87648084299997, 40.748424502000034]}",row-96ix_92cv.ttnj,rv-f5xt_bg7w_v3c2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,73,14784,65,
7,193118596,2019-02-02T00:00:00.000,19:40:00,MANHATTAN,23,0,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,999347.187500000000000,227794.875000000000000,40.791915747000075,-73.945478982999987,"{'type': 'Point', 'coordinates': [-73.94547898299999, 40.791915747000075]}",row-6k34~xvca~3j5j,rv-wrxc~7xcp_pm5f,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,35,14,12426,7,
8,193118593,2019-02-02T00:00:00.000,00:45:00,QUEENS,113,0,False,25-44,M,WHITE,25-44,M,ASIAN / PACIFIC ISLANDER,1040720.312500000000000,190569.484375000000000,40.689574053000058,-73.796375593999983,"{'type': 'Point', 'coordinates': [-73.79637559399998, 40.68957405300006]}",row-8aa3.an86_gqxk,rv-ryup.kua6~a8zk,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,71,24668,41,GROCERY/BODEGA
9,193118593,2019-02-02T00:00:00.000,00:45:00,QUEENS,113,0,False,18-24,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1040720.312500000000000,190569.484375000000000,40.689574053000058,-73.796375593999983,"{'type': 'Point', 'coordinates': [-73.79637559399998, 40.68957405300006]}",row-6xnj.h9ub-skki,rv-vewa.jw6k.x79u,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,46,71,24668,41,GROCERY/BODEGA
