,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,perp_age_group,perp_sex,perp_race
0,231965176,2021-08-06T00:00:00.000,23:46:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,990824,149705,40.57758741600002,-73.97633607099993,"{'type': 'Point', 'coordinates': [-73.97633607099993, 40.57758741600002]}",row-n9ve_xwrp~n3cb,rv-4d35~kzhf-8qtv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,15,35,18184,21,,,
1,231866556,2021-08-05T00:00:00.000,22:50:00,QUEENS,106,0,,False,45-64,M,BLACK,1037369,187502,40.68117527600003,-73.80848420799998,"{'type': 'Point', 'coordinates': [-73.80848420799998, 40.68117527600003]}",row-cz4g~pthu~zq6v,rv-3ujn_pszm_qsg6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,64,24016,62,25-44,M,BLACK
2,231866064,2021-08-05T00:00:00.000,22:10:00,BRONX,44,0,GROCERY/BODEGA,False,18-24,M,BLACK,1006609,241838,40.83044482400004,-73.91920667799997,"{'type': 'Point', 'coordinates': [-73.91920667799997, 40.83044482400004]}",row-afqm_j9qp.6qpj,rv-6iuw.98p4_e7d4,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10934,50,,,
3,231866065,2021-08-05T00:00:00.000,23:30:00,BROOKLYN,73,0,,False,18-24,M,BLACK,1010873,178565,40.656764559000074,-73.90404906099997,"{'type': 'Point', 'coordinates': [-73.90404906099997, 40.656764559000074]}",row-hh8d_tme3.6af4,rv-td6f~p9tu_bpn8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,46,17614,55,,,
4,231866066,2021-08-05T00:00:00.000,17:35:00,QUEENS,105,0,,False,25-44,M,BLACK,1054362,196224,40.70499677000004,-73.74712652899994,"{'type': 'Point', 'coordinates': [-73.74712652899994, 40.70499677000004]}",row-2kd4~hca3-gn7r,rv-szni-9ifq~n57e,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,63,24338,63,,,
5,231823647,2021-08-05T00:00:00.000,03:15:00,BROOKLYN,75,0,,False,18-24,M,WHITE HISPANIC,1011772,185617,40.67611797400008,-73.90078017499997,"{'type': 'Point', 'coordinates': [-73.90078017499997, 40.67611797400008]}",row-gic3_62fs.y9pr,rv-3hdc.sw5q.754w,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,47,17214,45,,,
6,231866067,2021-08-05T00:00:00.000,11:30:00,BRONX,44,0,,False,18-24,M,BLACK,1008123,244271,40.837118743000076,-73.91372714799998,"{'type': 'Point', 'coordinates': [-73.91372714799998, 40.837118743000076]}",row-g32z-m3xu.4877,rv-mnjy_ekkv_uzx2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10934,50,,,
7,231823648,2021-08-05T00:00:00.000,02:58:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,1020874,237525,40.81855924400003,-73.86768336699998,"{'type': 'Point', 'coordinates': [-73.86768336699998, 40.81855924400003]}",row-9zry-2sgh~6w64,rv-bf5a.aqvy_9avg,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,31,26,11611,58,,,
8,231866068,2021-08-05T00:00:00.000,08:57:00,QUEENS,103,0,,False,25-44,M,WHITE HISPANIC,1037949,195015,40.70179318200008,-73.80633317499998,"{'type': 'Point', 'coordinates': [-73.80633317499998, 40.70179318200008]}",row-a29f-rf6p.xeha,rv-4ibj~4s6a_3beb,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,24,61,24670,41,25-44,M,BLACK
9,231866068,2021-08-05T00:00:00.000,08:57:00,QUEENS,103,0,,False,18-24,M,ASIAN / PACIFIC ISLANDER,1037949,195015,40.70179318200008,-73.80633317499998,"{'type': 'Point', 'coordinates': [-73.80633317499998, 40.70179318200008]}",row-486x_frm2-vxht,rv-7gt3_d269-exmy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,24,61,24670,41,25-44,M,BLACK
10,231866070,2021-08-05T00:00:00.000,02:54:00,QUEENS,103,0,,False,18-24,M,BLACK,1038501,193009,40.69628382500007,-73.80435852099998,"{'type': 'Point', 'coordinates': [-73.80435852099998, 40.69628382500007]}",row-hqgp.wvbf_zjkb,rv-q2hf.vwqs~dh5r,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,46,61,24670,41,25-44,M,BLACK
11,231810233,2021-08-04T00:00:00.000,17:20:00,QUEENS,103,0,,False,25-44,F,BLACK,1039378,192669,40.69534518700004,-73.80119863,"{'type': 'Point', 'coordinates': [-73.80119863, 40.69534518700004]}",row-9y3w.3fbk_imcw,rv-ajt4.w226_sjij,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,61,24668,41,25-44,M,BLACK
12,231792293,2021-08-04T00:00:00.000,13:40:00,MANHATTAN,32,0,,False,18-24,M,BLACK,1002309,236836,40.81672559200007,-73.93475828499999,"{'type': 'Point', 'coordinates': [-73.93475828499999, 40.81672559200007]}",row-a7tz-qaxv-itq5,rv-a9nh~j3cs~wt3e,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,20,13095,18,,,
13,231810237,2021-08-04T00:00:00.000,21:56:00,BROOKLYN,79,0,,False,25-44,M,BLACK,995444,191207,40.69149695300007,-73.95963596099993,"{'type': 'Point', 'coordinates': [-73.95963596099993, 40.69149695300007]}",row-2gud-gii9.bkvm,rv-a5r9_xhrb-nwv4,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,38,51,17212,69,,,
14,231809582,2021-08-04T00:00:00.000,18:11:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1006026,185469,40.675727746000064,-73.92149590099996,"{'type': 'Point', 'coordinates': [-73.92149590099996, 40.675727746000064]}",row-htpq~x2ke_qm7c,rv-ss46~vyzg-eaw4,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,17,46,13516,55,,,
15,231789565,2021-08-04T00:00:00.000,01:00:00,BRONX,46,2,MULTI DWELL - PUBLIC HOUS,False,45-64,M,BLACK HISPANIC,1008176,249832,40.85238190900003,-73.91351577099994,"{'type': 'Point', 'coordinates': [-73.91351577099994, 40.85238190900003]}",row-vkr9-52u7~jhke,rv-gjb5~mi5x.tuhn,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,29,10931,6,,,
16,231810231,2021-08-04T00:00:00.000,21:41:00,BROOKLYN,77,0,,True,25-44,F,BLACK,996304,185058,40.674618219000074,-73.95654580499998,"{'type': 'Point', 'coordinates': [-73.95654580499998, 40.674618219000074]}",row-ei6z_99zm.7jby,rv-q6jt.s35n-6hrz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,48,49,17618,16,25-44,F,BLACK
17,231810235,2021-08-04T00:00:00.000,21:36:00,BROOKLYN,94,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,1001350,201326,40.71926178300004,-73.93831327799995,"{'type': 'Point', 'coordinates': [-73.93831327799995, 40.71926178300004]}",row-xixx-9qqp_ngc8,rv-ceu6~ptxc~tqga,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,57,18182,36,,,
18,231810238,2021-08-04T00:00:00.000,19:57:00,MANHATTAN,34,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,1005616,252314,40.85920082200005,-73.92276152799997,"{'type': 'Point', 'coordinates': [-73.92276152799997, 40.85920082200005]}",row-ch89.ycyi.rnds,rv-sb84-nnik~3zdt,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,39,22,13092,47,25-44,M,BLACK HISPANIC
