,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,25257130,2006-11-11T00:00:00.000,19:28:00,BRONX,47,0,True,45-64,M,BLACK,<18,M,BLACK,1026736.000000000000000,258842.000000000000000,40.877041796000071,-73.846369639999978,"{'type': 'Point', 'coordinates': [-73.84636963999998, 40.87704179600007]}",row-cg2w_tmes-6fha,rv-yhe2_9n5i~84nv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11607,29,
1,25257130,2006-11-11T00:00:00.000,19:28:00,BRONX,47,0,False,45-64,M,BLACK,45-64,M,BLACK,1026736.000000000000000,258842.000000000000000,40.877041796000071,-73.846369639999978,"{'type': 'Point', 'coordinates': [-73.84636963999998, 40.87704179600007]}",row-hus4.tg5h_5cjr,rv-ii6c_pgpf~22ph,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11607,29,
2,25257130,2006-11-11T00:00:00.000,19:28:00,BRONX,47,0,False,45-64,M,BLACK,<18,M,BLACK,1026736.000000000000000,258842.000000000000000,40.877041796000071,-73.846369639999978,"{'type': 'Point', 'coordinates': [-73.84636963999998, 40.87704179600007]}",row-ks6i_5bdw~4wpu,rv-cb2g_9z8y.g36x,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11607,29,
3,25257129,2006-11-11T00:00:00.000,06:30:00,BRONX,46,0,False,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1011755.687500000000000,252026.828125000000000,40.858395628000039,-73.900567224999975,"{'type': 'Point', 'coordinates': [-73.90056722499997, 40.85839562800004]}",row-n8k6~sakb~fcrg,rv-x35p_9er4.bcay,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,29,11606,6,VARIETY STORE
4,25257128,2006-11-11T00:00:00.000,05:14:00,MANHATTAN,25,0,False,18-24,M,BLACK,25-44,M,BLACK,1000555.000000000000000,230994.000000000000000,40.800694331000045,-73.941109285999971,"{'type': 'Point', 'coordinates': [-73.94110928599997, 40.800694331000045]}",row-7sg2_x984_mrpt,rv-jxea-y98g-x8zx,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,16,13093,7,
5,25283460,2006-11-11T00:00:00.000,05:02:00,BROOKLYN,84,0,True,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK,989602.000000000000000,188959.000000000000000,40.685332169000048,-73.980703954999967,"{'type': 'Point', 'coordinates': [-73.98070395499997, 40.68533216900005]}",row-px44_a7zd.wypr,rv-nain~c7rz.cvn7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,38,54,17619,68,
6,25257130,2006-11-11T00:00:00.000,19:28:00,BRONX,47,0,True,45-64,M,BLACK,45-64,M,BLACK,1026736.000000000000000,258842.000000000000000,40.877041796000071,-73.846369639999978,"{'type': 'Point', 'coordinates': [-73.84636963999998, 40.87704179600007]}",row-pzwe.gstm-mcqx,rv-3fbj_gjwy~tjct,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,2,30,11607,29,
7,25257125,2006-11-11T00:00:00.000,04:53:00,QUEENS,103,0,False,UNKNOWN,M,BLACK,25-44,F,BLACK,1039125.000000000000000,192380.000000000000000,40.694553524000071,-73.802113349999956,"{'type': 'Point', 'coordinates': [-73.80211334999996, 40.69455352400007]}",row-c5ez.3zak_xrz7,rv-aq8s_6jcm-98ap,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,46,61,24670,41,GROCERY/BODEGA
8,25257126,2006-11-11T00:00:00.000,14:56:00,BROOKLYN,77,0,False,UNKNOWN,M,BLACK,18-24,M,BLACK,1003788.687500000000000,183567.859375000000000,40.670514763000028,-73.929567233999933,"{'type': 'Point', 'coordinates': [-73.92956723399993, 40.67051476300003]}",row-g777_vq8n-wdps,rv-rq3s~7txz-fzrh,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,49,49,17615,16,BAR/NIGHT CLUB
9,25217938,2006-11-10T00:00:00.000,00:25:00,BROOKLYN,75,0,False,UNKNOWN,M,UNKNOWN,25-44,M,BLACK,1015443.000000000000000,180368.000000000000000,40.661698475000037,-73.887569925999969,"{'type': 'Point', 'coordinates': [-73.88756992599997, 40.66169847500004]}",row-dsmt~fgnk~39q5,rv-9ti3-tm5d-nc7a,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,25,47,17214,45,
