,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,47487788,2008-06-23T00:00:00.000,15:39:00,MANHATTAN,33,0,MULTI DWELL - APT BUILD,False,UNKNOWN,M,BLACK,25-44,M,WHITE HISPANIC,1001858.937500000000000,246496.312500000000000,40.843241289000048,-73.936358904999963,"{'type': 'Point', 'coordinates': [-73.93635890499996, 40.84324128900005]}",row-pg4b_q6ss.hfv9,rv-mnwp.2xmf.pigy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,21,13090,47
1,47464796,2008-06-23T00:00:00.000,11:38:00,QUEENS,102,0,LIQUOR STORE,False,UNKNOWN,M,BLACK,45-64,M,WHITE,1031815.875000000000000,192529.750000000000000,40.695006854000042,-73.828470103999962,"{'type': 'Point', 'coordinates': [-73.82847010399996, 40.69500685400004]}",row-t3w8-3xfs~c8i9,rv-q8g4~impg-4han,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,28,60,24014,46
2,47447795,2008-06-22T00:00:00.000,03:05:00,MANHATTAN,9,0,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,991390.750000000000000,203281.843750000000000,40.724643746000027,-73.974239145999945,"{'type': 'Point', 'coordinates': [-73.97423914599995, 40.72464374600003]}",row-x4q6-emr7.di2u,rv-zsjd_pvwd_nvau,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,50,5,11729,70
3,47447807,2008-06-22T00:00:00.000,01:38:00,QUEENS,103,0,,False,25-44,M,BLACK,<18,M,BLACK,1041749.000000000000000,196938.000000000000000,40.707047475000024,-73.792611903999955,"{'type': 'Point', 'coordinates': [-73.79261190399995, 40.707047475000024]}",row-3txy~a2qh-7f5d,rv-mnn6~igkg-kyna,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,61,24340,41
4,47447805,2008-06-22T00:00:00.000,02:40:00,MANHATTAN,34,0,,False,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1003528.875000000000000,250419.437500000000000,40.854005620000066,-73.930312108999942,"{'type': 'Point', 'coordinates': [-73.93031210899994, 40.854005620000066]}",row-q9pb_ah52.sb6w,rv-aj44~7amb_vmfz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47
5,47447807,2008-06-22T00:00:00.000,01:38:00,QUEENS,103,0,,False,25-44,M,BLACK,18-24,M,BLACK,1041749.000000000000000,196938.000000000000000,40.707047475000024,-73.792611903999955,"{'type': 'Point', 'coordinates': [-73.79261190399995, 40.707047475000024]}",row-xt48-nedn-d828,rv-4idy-tt2y.33d7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,61,24340,41
6,47447792,2008-06-22T00:00:00.000,01:35:00,QUEENS,113,0,PVT HOUSE,True,25-44,M,BLACK,25-44,M,BLACK,1040890.875000000000000,189441.125000000000000,40.686475884000060,-73.795770052999956,"{'type': 'Point', 'coordinates': [-73.79577005299996, 40.68647588400006]}",row-sfqr_q2ia_m7fw,rv-exry-uvpj~j76b,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,71,24670,41
7,47447804,2008-06-22T00:00:00.000,04:38:00,BRONX,46,0,,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1011881.000000000000000,250411.000000000000000,40.853960274000030,-73.900120874999971,"{'type': 'Point', 'coordinates': [-73.90012087499997, 40.85396027400003]}",row-m43f~fbua_thsi,rv-6bqh-uink-9c54,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,29,10935,6
8,47427734,2008-06-22T00:00:00.000,21:00:00,BROOKLYN,83,0,,False,,,,25-44,M,BLACK,1006965.000000000000000,193571.000000000000000,40.697963515000026,-73.918083361999948,"{'type': 'Point', 'coordinates': [-73.91808336199995, 40.697963515000026]}",row-ffcr-amis_8can,rv-5ane-pijz~993q,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,53,13828,42
9,47447792,2008-06-22T00:00:00.000,01:35:00,QUEENS,113,0,PVT HOUSE,True,<18,M,BLACK,25-44,M,BLACK,1040890.875000000000000,189441.125000000000000,40.686475884000060,-73.795770052999956,"{'type': 'Point', 'coordinates': [-73.79577005299996, 40.68647588400006]}",row-62r2.2bg3-6qdw,rv-cji6_ahac-jxv2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,46,71,24670,41
