,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,249311091,2022-08-09T00:00:00.000,14:00:00,BRONX,OUTSIDE,40,0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),<18,M,BLACK,1009856,236549,40.815912,-73.907491,"{'type': 'Point', 'coordinates': [-73.907491, 40.815912]}",row-r8h2~vfxe~sqng,rv-tyyz-s4pg_gmwa,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,23,10933,49
1,249311091,2022-08-09T00:00:00.000,14:00:00,BRONX,OUTSIDE,40,0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),18-24,M,BLACK,1009856,236549,40.815912,-73.907491,"{'type': 'Point', 'coordinates': [-73.907491, 40.815912]}",row-5a93_ihmt~gqgz,rv-jwgp-ruqn-y76n,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,23,10933,49
2,249207672,2022-08-08T00:00:00.000,04:20:00,MANHATTAN,OUTSIDE,20,0,STREET,(null),False,<18,M,BLACK,25-44,M,BLACK HISPANIC,989132,222591,40.777638,-73.982369,"{'type': 'Point', 'coordinates': [-73.982369, 40.777638]}",row-u6ed~3ygq-bh3c,rv-b5tz~v4fk~c79p,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,19,12,12420,20
3,249207672,2022-08-08T00:00:00.000,04:20:00,MANHATTAN,OUTSIDE,20,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,989132,222591,40.777638,-73.982369,"{'type': 'Point', 'coordinates': [-73.982369, 40.777638]}",row-w5ym~7r6t_ghj7,rv-5h6j_6jvy~t8cf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,19,12,12420,20
4,249212585,2022-08-08T00:00:00.000,09:33:00,BROOKLYN,OUTSIDE,63,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,BLACK,1006047,171107,40.636301,-73.921462,"{'type': 'Point', 'coordinates': [-73.921462, 40.636301]}",row-ebtc-m3fa~9udr,rv-qexn-aemd.w4rr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,38,13825,5
5,249233455,2022-08-08T00:00:00.000,17:01:00,QUEENS,OUTSIDE,113,0,STREET,(null),False,(null),(null),(null),<18,M,BLACK,1042190,187112,40.680068,-73.791101,"{'type': 'Point', 'coordinates': [-73.791101, 40.680068]}",row-r42y.jdgp~zv2p,rv-a89q-7j6q.5wyj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,46,71,24669,41
6,249196561,2022-08-08T00:00:00.000,01:42:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),False,(null),(null),(null),18-24,F,BLACK,997434,187229,40.68057,-73.952463,"{'type': 'Point', 'coordinates': [-73.952463, 40.68057]}",row-gut7-jf63.ypxs,rv-4wez-s9hq-puwv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,51,17618,69
7,249207672,2022-08-08T00:00:00.000,04:20:00,MANHATTAN,OUTSIDE,20,0,STREET,(null),False,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,989132,222591,40.777638,-73.982369,"{'type': 'Point', 'coordinates': [-73.982369, 40.777638]}",row-q6wg.q3su.3exe,rv-835j_2apz_y45b,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,19,12,12420,20
8,249207672,2022-08-08T00:00:00.000,04:20:00,MANHATTAN,OUTSIDE,20,0,STREET,(null),False,18-24,F,WHITE,25-44,M,BLACK HISPANIC,989132,222591,40.777638,-73.982369,"{'type': 'Point', 'coordinates': [-73.982369, 40.777638]}",row-xsx2~266i.74cw,rv-ga69_env2-x9sh,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,19,12,12420,20
9,249233454,2022-08-08T00:00:00.000,20:07:00,QUEENS,OUTSIDE,110,0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,1018440,211753,40.747826,-73.876604,"{'type': 'Point', 'coordinates': [-73.876604, 40.747826]}",row-nxcb.r4nx.9xwe,rv-eh2b_z63p-aa3x,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,21,68,14784,66
