,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,139003122,2014-10-03T00:00:00.000,04:08:00,BROOKLYN,69,2,False,25-44,M,BLACK,45-64,M,BLACK,1016452.125000000000000,170414.953125000000000,40.634375923000050,-73.883980170999962,"{'type': 'Point', 'coordinates': [-73.88398017099996, 40.63437592300005]}",row-tqt5.ctfz-5dy3,rv-bejc~ebcb_e9f6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,8,42,13827,5,
1,139005059,2014-10-03T00:00:00.000,14:08:00,BROOKLYN,63,2,False,,,,25-44,M,BLACK,1006047.875000000000000,171107.843750000000000,40.636309473000040,-73.921463455999969,"{'type': 'Point', 'coordinates': [-73.92146345599997, 40.63630947300004]}",row-g4mb_cvad-pewt,rv-3672-mssq~3e87,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,8,38,13825,5,MULTI DWELL - PUBLIC HOUS
2,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,False,<18,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-aba7~nqt5~spng,rv-c5vj~ushv_irgj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
3,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,True,25-44,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-qwkk-qefb_4cfj,rv-shtw-sspr.fjcp,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
4,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,False,25-44,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-qwxa.vc72.nvza,rv-sjnj~kmat~rk7a,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
5,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,True,<18,M,WHITE HISPANIC,<18,F,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-g7wn~fg5m.jm3r,rv-4bsm~iphe.ra28,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
6,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,True,<18,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-d66v-s99r_q957,rv-pzbr_nj6v.trf5,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
7,138996869,2014-10-02T00:00:00.000,04:31:00,MANHATTAN,34,0,False,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1002893.187500000000000,248817.468750000000000,40.849610056000074,-73.932614447999981,"{'type': 'Point', 'coordinates': [-73.93261444799998, 40.849610056000074]}",row-ye7r.42da.a773,rv-cdw2_sizn_4evj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13091,47,
8,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-jvsn_7jk2_zk57,rv-8s5g~2d3g-35cy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
9,138997051,2014-10-02T00:00:00.000,18:40:00,MANHATTAN,34,0,False,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1004098.187500000000000,251509.578125000000000,40.856996468000034,-73.928250928999944,"{'type': 'Point', 'coordinates': [-73.92825092899994, 40.856996468000034]}",row-c99a_7tay~ckgg,rv-p9pw~248f~tuab,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
